GRAPH 110 1879:
   14 --  74
    5 --  31
   74 -- 106
   21 --  28
   95 -- 101
    4 --  36
   86 --  90
   15 --  74
    0 --  76
   63 --  76
    8 --  63
   24 --  66
   23 --  26
    6 --  54
   54 --  92
   10 --  61
   49 --  78
   41 --  57
   31 --  74
   13 --  32
   74 --  94
   55 --  80
   40 --  66
    4 -- 104
   17 --  64
   64 --  88
   56 -- 101
    8 -- 107
   29 --  96
   33 -- 101
   45 --  61
   10 --  97
   49 --  58
   21 --  81
   58 -- 103
    0 --  55
   55 -- 100
   20 --  58
   68 --  92
   59 --  97
   15 --  34
   84 --  95
   85 --  87
   13 -- 101
   14 --  77
   61 -- 107
   71 -- 100
   27 --  39
   53 --  62
   75 --  97
   21 --  37
    8 --  38
   55 --  56
   48 --  77
   59 --  61
    6 --  41
    1 --  89
   79 --  85
   61 --  63
   18 --  36
    4 --  87
   17 --  57
   65 --  71
   20 --  82
   11 --  15
   45 --  54
   22 --  88
   43 --  69
   35 --  96
    7 --  91
   59 -- 102
   69 --  83
   23 --  84
    8 --  94
   64 -- 107
   45 --  71
   36 -- 108
   84 -- 102
    2 --  12
   94 -- 101
   33 --  74
   14 --  84
   19 --  44
   24 --  33
   18 -- 107
   10 --  92
   75 -- 102
   21 --  46
   95 -- 107
    8 --  45
    0 --  90
    7 --  15
   99 -- 108
  100 -- 102
    3 --  55
   81 --  97
   36 --  80
   31 --  56
   14 --  96
    5 --  53
   26 --  74
   38 --  90
   40 --  48
  103 -- 104
    4 --  94
   17 --  50
   45 --  47
   66 --  84
    7 --  80
   46 --  85
   69 --  92
   45 --  64
    2 --   7
   94 -- 108
   27 --  53
   57 --  69
   47 --  62
   21 --  55
   35 --  85
   29 --  55
    3 --  60
   59 --  75
   23 --  33
    6 --  27
   37 --  87
    2 --  91
    5 --  62
   26 --  85
    9 --  59
   74 --  75
   18 --  22
    7 --  56
   20 --  96
   29 --  75
   77 --  81
   24 --  99
   14 --  26
    6 --  87
   42 --  53
   53 --  69
   31 --  85
   22 -- 106
   91 --  93
   40 --  99
   23 -- 106
    8 --  76
   32 --  82
   89 -- 103
   71 --  83
   39 -- 106
   35 --  90
   81 --  83
   54 --  56
   37 --  80
   32 --  46
   61 --  74
   26 --  92
   38 --  84
   39 --  94
   40 --  62
   51 --  76
    7 --  49
   63 --  84
   89 --  92
   26 --  96
   55 --  72
   40 -- 106
   88 -- 100
   56 --  77
   14 --  41
   90 -- 102
   18 --  84
    4 --   7
   87 -- 101
   34 --  83
   43 -- 100
   63 -- 105
    3 --  42
   25 --  89
   23 --  55
   32 --  37
   97 -- 105
   62 --  83
   38 --  79
   39 --  87
    4 --  75
    8 --  14
    7 --  46
   25 -- 101
   31 --  91
   22 -- 100
   13 --  49
   40 --  81
    3 -- 103
   17 --  81
   56 --  84
   19 --  72
   50 --  54
   41 --  91
