GRAPH 120 2039:
   50 --  96
   62 --  64
   74 -- 106
   39 --  70
   86 --  90
   95 -- 101
   15 --  74
    7 --  25
   11 --  90
   25 -- 116
   81 -- 119
   54 --  92
   47 -- 119
   40 --  66
    4 -- 104
   52 --  98
   17 --  64
   64 --  88
   43 --  63
   28 -- 118
   29 --  96
   19 --  91
   33 -- 101
   42 --  88
   53 -- 106
   54 -- 104
   21 --  81
   13 --  20
   78 --  98
   91 -- 118
   12 -- 111
  116 -- 118
   25 --  49
   36 -- 101
   94 --  98
    5 --  24
   70 --  94
   27 --  39
   10 --  85
   21 --  37
   80 -- 116
    8 --  38
   77 -- 107
   81 -- 104
   82 -- 118
   54 --  87
    1 --  89
    2 --  73
   73 --  91
   49 --  71
   50 --  79
    6 --  41
   36 --  41
   35 --  52
   74 --  89
   40 --  73
   12 --  50
    4 --  87
   43 --  52
   19 --  96
   45 --  54
   10 -- 104
   66 --  93
   43 --  69
   35 --  96
    7 --  91
   47 --  64
   12 -- 102
   15 --  43
   64 -- 107
    2 --  12
   32 --  68
   33 --  74
   14 --  84
   18 -- 107
   10 --  92
    1 --  33
   39 -- 116
   21 --  46
    4 --  42
   87 --  94
    8 --  45
   29 --  62
   33 --  59
   81 --  97
   36 --  80
    2 --  64
   13 --  82
    9 --  50
   12 --  41
    4 --  94
    8 --  25
  108 -- 117
   17 --  50
   28 --  68
   42 --  74
   33 -- 119
   45 --  47
   44 --  68
   47 --  73
   12 --  29
   23 -- 109
   17 -- 110
   64 --  98
   45 --  64
   85 --  89
   41 --  96
   14 --  95
   18 --  98
    9 --  79
   66 -- 104
   47 --  62
   39 -- 109
    4 --  17
    1 --  58
   35 --  85
   20 --  28
   12 --  81
   68 -- 118
   11 --  65
   23 --  33
   25 --  79
   82 -- 104
   45 -- 116
    6 --  27
  102 -- 111
   31 --  33
    5 --  62
   79 --  91
   27 --  65
   12 --  32
    3 --  77
   15 -- 117
    0 -- 109
   17 --  43
   37 --  56
   20 --  96
  112 -- 119
   77 --  81
   42 --  53
   14 --  26
    6 --  87
   58 -- 112
   78 -- 119
   35 -- 110
    7 --  73
   12 --  20
   68 --  73
   23 -- 106
   56 --  70
   85 --  98
   32 --  82
   33 --  68
   61 -- 118
   58 --  68
   39 -- 106
   80 --  89
   44 -- 119
   91 -- 105
    0 --  40
   59 --  64
   23 --  62
   36 --  70
   37 --  80
   54 --  56
   32 --  46
   31 --  46
   35 --  43
   39 --  94
   52 --  70
    7 --  49
   28 --  90
   20 -- 111
   29 --  68
   39 --  47
   26 --  96
    0 --  19
   44 --  58
    4 -- 112
   17 --  88
   56 --  77
    2 --  25
   85 -- 107
   41 --  82
   42 --  96
   89 -- 104
   33 --  93
   71 --  72
    0 --  47
   59 --  89
   82 --  90
   45 -- 102
   37 --  89
    2 --  45
   32 --  37
    5 --  32
   70 -- 118
  107 -- 110
   38 --  79
   88 --  95
   51 --  85
   52 --  77
   17 --  37
   28 --  81
   20 -- 118
   37 --  42
   25 -- 101
    6 --  65
   10 --  12
    1 -- 113
   49 --  95
   55 --  65
   17 --  81
   56 --  84
   28 -- 101
