GRAPH 110 1861:
   32 --  54
   13 -- 108
   70 -- 103
   27 --  46
   39 --  70
   21 --  28
   52 --  94
    7 --  25
   63 --  76
   11 --  90
   76 -- 100
   24 --  66
   16 --  47
    6 --  54
   54 --  92
    2 --  78
   50 --  84
   41 --  57
   78 --  86
    3 --  86
    4 -- 104
   56 -- 101
   19 --  91
    5 --  84
    6 --  98
   54 -- 104
    1 --  28
   10 --  97
   67 --  80
   30 -- 100
   21 --  81
   22 --  65
   43 --  76
   46 --  75
   55 -- 100
   59 --  97
   60 --  81
   25 --  49
   45 --  78
   19 --  39
    2 --  53
   84 --  95
    1 --  40
   75 --  97
    7 --  22
   29 --  37
   76 --  99
   59 --  61
   36 --  41
   54 --  87
   50 --  79
   13 --  89
   78 --  89
   35 --  52
   18 --  36
    4 --  87
   52 -- 105
    8 --  18
   65 --  71
   56 -- 108
   42 --  67
   45 --  54
   22 --  88
   78 -- 101
   44 --  77
   35 --  96
    0 --  14
   46 --  82
   69 --  83
   25 --  58
   16 --  97
    2 --  12
   94 -- 101
   32 --  68
   14 --  84
   70 --  81
    9 --  70
   10 --  92
   57 --  60
   27 --  60
   21 --  46
   87 --  94
  100 -- 102
   48 --  68
    3 --  55
   24 --  80
   25 --  70
   41 --  43
   13 --  82
    5 --  53
   79 --  82
   14 --  96
   27 --  72
    4 --  94
   65 --  88
   28 --  68
   76 --  78
    6 --  92
   45 --  47
   49 --  52
   30 --  86
   22 --  83
   78 -- 108
   79 -- 102
   35 -- 105
    0 --   5
    7 --  80
   69 --  92
   60 -- 103
   23 -- 109
    2 --   7
   94 -- 108
   41 --  96
   70 --  72
   71 --  90
    9 --  79
   27 --  53
   57 --  69
   47 --  62
   39 -- 109
   80 --  98
    0 --  81
  100 -- 109
   33 --  60
   25 --  79
    6 --  27
   82 -- 104
   36 --  95
    2 --  91
   50 --  65
    5 --  62
   79 --  91
   27 --  65
    9 --  59
   51 --  71
    7 --  56
   65 --  81
   29 --  75
   24 --  99
    5 --  79
   53 --  69
    1 -- 103
   67 --  71
   21 -- 108
   39 --  54
   44 --  67
    0 --  28
   46 --  92
   47 --  86
   16 --  95
   17 -- 103
    8 --  76
   56 --  70
   41 -- 105
   32 --  82
   89 -- 103
   10 --  78
   57 --  78
    1 --  51
   21 --  48
   87 -- 108
   35 --  90
    0 --  40
   63 --  96
   59 --  64
   24 --  94
   25 --  80
   33 --  53
   82 --  99
   81 --  83
   23 --  62
   54 --  56
   32 --  46
   35 --  43
    9 --  60
   27 --  70
   17 --  44
    7 --  49
    5 --  72
   89 --  92
    6 --  78
   39 --  47
    7 --  70
   46 -- 103
   12 --  19
   69 --  78
   16 --  86
   17 --  88
    2 --  25
   50 --  63
   32 -- 105
   41 --  82
   14 --  41
   62 -- 103
   57 --  87
   21 --  57
   87 -- 101
   43 -- 100
   63 -- 105
   46 --  51
   25 --  89
    6 --  21
   81 --  84
   23 --  55
   37 --  89
    2 --  45
   97 -- 105
    5 --  32
    9 --  37
   27 --  95
   88 --  95
    7 --  46
   16 --  62
   54 --  79
   36 --  49
    2 --  97
   49 --  95
   30 --  75
    9 --  17
   47 -- 100
    3 -- 103
   51 --  97
   17 --  81
   28 -- 101
    2 --  16
   32 --  96
   14 --  48
   90 --  97
    9 --  98
    1 --  13
   67 --  97
    4 --  14
   35 --  72
   91 -- 103
   48 --  96
    3 --  19
   23 --  76
   28 --  57
   22 --  35
   97 --  98
   70 -- 105
   62 --  90
    9 --  46
   30 --  35
   39 --  76
   51 --  90
   52 --  84
   17 --  30
   63 --  90
   16 --  53
   72 --  82
   53 --  80
   54 --  70
   50 --  94
   41 --  51
   27 --  96
   18 --  55
   47 -- 109
   13 --  30
   22 --  75
   44 --  92
    3 --  24
   96 --  97
   60 --  95
   45 --  88
   37 --  75
    2 --  63
   28 --  48
   32 --  51
   70 --  96
   30 --  42
    4 --  57
   52 --  83
    8 --  60
   63 --  67
    6 --  51
   53 --  89
   54 --  89
   10 --  62
   50 --  89
   13 --  35
   47 -- 106
    3 --  85
   17 --  67
   19 --  86
   41 --  69
   42 --  93
    9 -- 108
   66 --  71
   30 --  97
   13 --  23
    7 --  97
   46 --  68
   11 --  98
   51 --  59
   45 --  81
    2 --  54
   22 --  61
   14 --  78
    5 --  27
    9 --  88
    1 --  43
   86 --  94
   95 --  97
    4 --  32
   76 --  96
   16 --  35
    6 --  42
   10 --  57
   50 --  80
   13 --  92
   35 --  51
   75 --  88
   12 --  55
   65 --  66
   56 -- 105
   41 --  78
    5 --  80
   54 -- 108
    1 --  16
   45 --  57
   22 --  69
   13 --  16
    7 --  94
   83 --  89
   46 --  79
   69 --  86
   25 --  53
   23 --  91
    8 --  91
   19 --  43
   22 --  52
   14 --  81
   62 --  79
   18 -- 108
   10 --  81
   57 --  63
   27 --  59
   29 --  33
   24 --  77
   25 --  65
   81 -- 108
    6 --  45
