GRAPH 110 1613:
    5 --  31
   61 --  82
   62 --  64
   14 --  74
   39 --  70
   95 -- 101
   30 --  41
   86 --  90
   15 --  74
    0 --  76
    8 --  63
   11 --  90
   76 -- 100
   33 --  41
   16 --  47
   73 --  82
   49 --  78
   41 --  57
   31 --  74
   78 --  86
   18 --  45
   74 --  94
   17 --  64
   15 --  30
   19 --  91
   41 --  74
    1 --  28
   49 --  58
   78 --  98
   44 --  86
    7 --  98
   83 --  85
   51 --  60
   16 -- 106
   60 --  81
   45 --  78
   84 --  95
    5 --  24
   14 --  77
   53 --  62
   62 --  75
    9 --  93
   86 --  93
   34 --  79
   99 -- 103
   31 --  51
   78 --  89
   79 --  85
   74 --  89
   64 --  95
   28 --  77
   11 --  15
   20 --  82
   77 --  95
   49 --  51
   21 --  90
   31 -- 103
   78 -- 101
   44 --  77
   47 --  64
   84 -- 102
   32 --  68
   33 --  74
   61 -- 100
    9 --  70
   18 -- 107
   75 -- 102
   27 --  60
   21 --  46
   95 -- 107
   80 -- 107
   99 -- 108
  100 -- 102
   16 --  29
    6 --  32
   73 --  92
    5 --  53
   79 --  82
   75 --  82
  103 -- 104
    8 --  25
   15 -- 108
   19 -- 105
   20 --  89
   24 --  28
   66 --  84
   21 --  99
   22 --  83
   31 -- 108
   79 -- 102
   30 --  86
   39 --  57
   46 --  85
   60 -- 103
   23 -- 109
   15 --  48
   84 -- 109
   14 --  95
   27 --  53
   10 --  71
    1 --  58
   39 -- 109
    0 --  81
  100 -- 109
    3 --  60
   33 --  60
   25 --  79
    6 --  27
   24 --  87
   16 --  20
   37 --  87
   41 --  44
   14 -- 107
   79 --  91
    9 --  59
   40 --  55
    0 -- 109
   42 --  53
   89 --  91
   53 --  69
   21 -- 108
   30 --  89
   91 --  93
   16 --  95
    8 --  76
   15 --  57
   93 --  95
   32 --  82
   18 --  93
    1 --  51
   39 -- 106
   21 --  48
   91 -- 105
   11 --  70
    3 --  37
   33 --  53
   36 --  70
   32 --  46
   31 --  46
    9 --  60
   52 --  70
    0 -- 100
    7 --  49
   28 --  90
   42 --  60
   89 --  92
   53 --  78
   39 --  47
    0 --  19
   48 --  61
   46 -- 103
   88 -- 100
   69 --  78
   16 --  86
   17 --  88
   41 --  82
   33 --  93
   14 --  41
   90 -- 102
